Elapsedmins, Nodes
14,200
14,200
14,197
14,197
14,200
8,200
8,200
8,200
14,200
14,200
14,200
14,200
14,200
14,200
14,200
13,199
14,200
14,200
14,199
16,200
13,161
7,199
18,1
1,1
7,1
7,4
6,1
7,4
8,16
4,1
5,1
4,1
6,1
5,1
6,1
7,1
2,8
6,1
1,1
1,1
1,1
1,1
1,1
2,8
1,8
2,8
1,8
2,8
2,16
2,16
2,16
2,16
2,16
2,32
2,32
1,4
1,4
1,4
1,4
1,4
2,32
2,512
2,256
2,256
2,128
2,128
2,128
2,64
2,64
2,64
5,1
2,16
1,16
2,512
1,1
1,1
1,1
1,1
1,1
1,4
1,4
1,4
1,4
1,4
1,8
2,8
2,8
2,8
1,8
1,16
2,16
1,16
1,2
1,2
1,2
1,2
1,2
2,32
2,32
2,32
2,32
1,32
2,64
2,64
2,64
2,64
2,64
2,128
2,128
2,128
7,2K
3,2K
3,2K
6,1K
2,1K
2,1K
2,1K
3,1K
2,512
2,512
2,512
2,512
2,256
2,256
2,256
2,256
2,256
29,1
11,1
4,1
11,1
23,4
170,64
44,16
13,1
20,4
46,512
29,256
14,64
7,16
25,4
30,1
76,1K
29,1
5,16
12,64
27,256
12,4
30,1
29,1
13,1
28,1
11,1
28,1
28,1
28,1
28,1
12,1
28,1
2,8
2,64
2,64
2,64
5,512
2,1
6,1K
1,2
1,2
1,2
1,2
1,2
24,1
1,4
1,4
2,4
1,4
1,4
1,8
1,8
1,8
2,8
2,8
1,16
2,16
2,16
2,16
2,16
2,32
2,32
2,32
2,32
2,32
2,64
2,64
2,64
2,64
2,64
2,128
2,128
2,128
2,128
2,256
2,256
2,512
2,512
17,2K
12,1
28,1
2,512
2,256
2,256
2,256
3,1K
2,1K
28,1
1,1
1,1
1,1
3,1K
2,4
5,16
12,64
25,512
4,512
4,200
4,200
4,200
4,200
4,29
4,29
4,29
4,29
17,28
17,28
17,28
17,28
3,195
3,195
3,195
3,195
3,2K
282,194
75,4
107,27
107,27
107,27
107,27
42,3K
5,1K
12,2
3,36
6,36
14,36
3,36
6,512
23,256
9,512
23,256
41,3K
41,512
10,2K
6,4
56,1K
80,4
41,3K
2,1
5,300
5,300
5,300
5,300
5,300
5,300
5,300
5,300
5,300
5,300
2,1
7,400
7,400
7,400
7,400
7,400
7,400
6,400
6,400
60,1K
19,1
1,1
8,16
7,1
7,4
7,16
6,1
8,4
8,16
4,1
6,1
5,1
7,1
6,1
7,1
7,1
54,1K
4,3528
4,3136
4,3K
3,2352
3,2304
3,2K
61,1K
3,1176
2,1K
2,512
2,256
2,128
2,64
2,32
2,16
3,8
2,4
3,2
1,1
2,1K
3,4
74,3
1,1
2,4
5,16
11,64
23,256
41,512
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
2,1
2,32
2,32
2,50
2,50
3,1
62,1K
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
42,512
42,3K
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
19,203
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,203
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
1,1
1,1
1,1
62,1K
2,2
4,8
6,1
9,32
11,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
1,2
1,2
1,2
2,4
2,4
2,4
2,4
2,4
2,8
2,8
2,8
2,8
2,8
20,128
9,512
2,150
5,1
16,1K
7,1
1,8
3,150
1,64
1,128
2,256
1,4
5,1
1,1
2,1
4,1K
1,512
1,512
1,256
6,1
4,512
1,128
6,1
8,1K
1,512
3,1K
1,512
3,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,2
1,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,4
2,4
2,4
2,4
