JobID,UID,ReqNodes,TimelimitRaw,ElapsedRaw
261551,11685,1K,120,743
261552,11647,1233,30,36
261553,11647,1233,30,34
261554,11647,1233,30,0
261555,11647,1232,30,0
261556,11685,1K,120,745
261557,11685,2400,240,2837
261558,11647,1220,30,31
261559,11647,1224,30,30
261560,11647,1224,30,30
261561,11647,1224,30,31
261562,11685,1K,120,744
261563,11685,16,120,1953
261564,11685,1K,120,753
261565,11647,1208,60,923
261566,11685,1K,120,752
261567,11647,1208,60,3600
261568,11685,2100,120,335
261569,11685,64,240,1349
261570,11685,1K,120,119
261571,11685,1K,120,127
261572,11685,2100,120,735
261573,11685,1K,120,743
261574,11685,2100,120,1269
261575,11685,1K,120,543
261576,16508,1000,30,1807
261577,11685,1K,120,125
261578,11685,1K,120,742
261579,11685,2100,120,7214
261580,16795,512,20,19
261581,11685,1K,120,543
261582,16795,512,20,335
261583,11685,1K,120,737
261584,16508,1000,30,1828
261585,11685,1K,120,738
261586,11685,1K,120,735
261587,11647,1914,90,5410
261588,11685,1K,120,967
261589,16508,1000,60,3627
261590,6432,16,15,217
261591,11685,1K,120,742
261592,11685,1K,120,735
261593,11685,64,240,4115
261594,11685,1K,120,744
261595,16508,1000,60,2352
261596,11685,1K,120,121
261597,11685,1K,120,120
261598,11685,1K,120,115
261599,11685,1K,120,121
261600,11685,1K,120,130
261601,11685,1K,120,136
261602,11685,1K,120,127
261603,11685,1K,120,755
261604,11685,2100,120,7217
261605,11685,1K,120,133
261606,11685,1K,120,138
261607,11685,1K,120,119
261608,11685,1K,120,124
261609,11685,1K,120,175
261610,11685,1K,120,740
261611,11685,1K,120,743
261612,11685,1K,120,740
261613,11685,1K,120,740
261614,58707,900,360,774
261615,58707,64,120,3384
261616,58707,64,120,4084
261617,58707,64,120,4133
261618,58707,64,120,4907
261619,58707,900,360,402
261620,58707,900,360,834
261621,58707,900,360,2293
261622,58707,900,360,8562
261623,58707,900,360,3207
261624,11685,1K,120,741
261625,11685,1K,120,743
261626,11685,1K,120,127
261627,11685,1K,120,923
261628,11685,1K,120,114
261629,11685,1K,120,741
261630,11685,1K,120,579
261631,11685,1K,120,120
261632,11685,1K,120,798
261633,11685,1K,120,774
261634,11685,1K,120,742
261635,11685,1K,120,749
261636,58707,64,120,606
261637,58707,64,120,4259
261638,58707,64,120,4237
261639,58707,64,120,4617
261640,11685,1K,120,744
261641,11685,1K,120,633
261642,58707,900,360,7161
261643,58707,900,360,18708
261644,58707,900,360,2321
261645,58707,900,360,2365
261646,58707,900,360,3677
261647,58707,900,360,3674
261648,58707,64,120,2670
261649,58707,64,120,5737
261650,58707,64,120,2388
261651,58707,64,120,4513
261652,58707,64,120,4069
261653,58707,64,120,4603
261654,58707,64,120,4762
261655,58707,64,120,4602
261656,58707,64,120,4511
261657,58707,64,120,5280
261658,6432,1,30,1234
261659,6432,1,15,292
261660,6432,16,15,427
261661,6432,1,15,492
261662,6432,4,15,544
261663,6432,1,15,376
261664,6432,1,15,434
261665,6432,1,15,402
261666,6432,1,15,499
261667,6432,1,15,431
261668,6432,1,15,536
261669,6432,1,15,361
261670,11685,5000,120,1767
261671,11685,4.50K,60,676
261672,11685,5K,60,676
261673,11685,4.50K,60,676
261674,11685,4K,120,741
261675,11685,5K,120,199
261676,11685,5K,60,2251
261677,11685,4.50K,60,674
261678,11647,822,90,309
261679,58732,8,60,3618
261680,11647,813,90,931
261681,58707,900,360,0
261682,58707,64,120,5661
261683,11685,4K,120,2002
261684,11685,5K,120,742
261685,58732,8,60,3611
261686,16795,1028,20,1
261687,63310,1,7,56
261688,63310,37,7,195
261689,63310,74,7,224
261690,63310,294,7,206
261691,16795,128,10,21
261692,11685,4.50K,60,611
261693,16795,512,10,75
261694,5987,1,10,189
261695,5987,1,10,188
261696,5987,1,10,190
261697,5987,1,10,164
261698,5987,1,10,188
261699,5987,1,10,214
261700,5987,1,10,164
261701,5987,1,10,195
261702,5987,1,10,164
261703,5987,1,10,190
261704,5987,1,10,158
261705,5987,1,10,187
261706,5987,1,10,213
261707,5987,1,10,232
261708,5987,1,10,184
261709,5987,1,10,183
261710,5987,1,10,175
